country,region,eu_member,sector,asset_class,investment_eur,size_factor,cpi_score,climate_vuln,hdi,ghg_intensity,gender_factor,social_factor,dim_climate,dim_water,dim_gender,dim_social,dim_territory,dim_governance,dim_pollution,dim_innovation,idris_score,idris_band,taxonomy_eligible,taxonomy_aligned,dnsh_pass,sc_score,sfdr_article,pai_score,tcfd_physical,tcfd_transition,mifid_suitability,mifid_profile,csrd_in_scope,impact_material,financial_material
Kazakhstan,Central Asia,False,SME Finance,Project Finance,4581.34,0.1072,36,0.434,0.811,0.315,0.69,0.645,38.5,62.1,61.9,51.0,45.6,29.6,51.3,48.9,48.09,Amber,False,False,False,0.0,Article 6,61.7,Medium,Medium,4.8,Conventional (Article 6 compatible),False,False,False
Bolivia,Latin America,False,Extractive Industry,Real Estate,10595.16,0.1877,31,0.592,0.698,0.843,0.469,0.383,2.8,13.1,44.6,34.3,56.2,17.9,11.2,48.1,26.81,Red,False,False,False,0.0,Article 6,39.9,Medium,High,1.7,Conventional (Article 6 compatible),False,True,False
South Korea,East Asia,False,Energy Efficiency,SME Debt,4720543.49,0.7734,63,0.229,0.929,0.209,0.601,0.734,73.7,62.4,76.0,71.5,46.4,40.4,74.9,94.6,67.12,Green,True,True,True,74.3,Article 8,70.1,Low,Low,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Brazil,Latin America,False,Sustainable Agriculture,Private Equity / Venture,1546360.39,0.6662,36,0.529,0.76,0.38,0.734,0.859,61.2,55.2,61.0,72.1,49.8,23.3,63.4,61.2,55.96,Amber,True,True,True,59.6,Article 8,59.6,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Belgium,Western Europe,True,Energy Efficiency,Real Estate,1525.69,0.0016,73,0.258,0.937,0.212,0.52,0.626,67.3,66.1,75.8,61.6,50.7,66.6,77.4,80.0,68.38,Green,True,True,True,74.6,Article 8,72.8,Low,Low,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Philippines,Southeast Asia,False,Digital Infrastructure,SME Debt,3899276.33,0.755,33,0.727,0.699,0.337,0.377,0.669,39.3,54.5,42.0,57.3,60.5,19.2,55.1,94.8,47.34,Amber,False,False,False,0.0,Article 6,52.1,High,Medium,3.7,Conventional (Article 6 compatible),False,False,False
South Africa,Sub-Saharan Africa,False,Energy Efficiency,Green Bond,5647886.1,0.7906,41,0.661,0.713,0.059,0.573,0.707,79.8,58.1,54.9,63.1,57.5,41.7,87.4,94.2,64.72,Green,True,True,True,82.4,Article 8,67.7,High,Low,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Indonesia,Southeast Asia,False,Healthcare,Project Finance,39779560.6,0.978,34,0.676,0.705,0.148,0.669,0.832,50.3,55.0,50.4,73.4,60.1,27.6,67.2,62.7,53.97,Amber,False,False,False,0.0,Article 8,64.2,High,Medium,4.9,Conventional (Article 6 compatible),False,False,False
Japan,East Asia,False,Sustainable Agriculture,Private Equity / Venture,12147466.59,0.8641,73,0.38,0.92,0.41,0.529,0.736,59.1,21.9,78.2,70.0,52.1,50.3,66.7,66.0,60.87,Green,True,True,True,59.8,Article 8,65.2,Low,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Peru,Latin America,False,Microfinance,Microfinance / Social Bond,4680.71,0.1093,40,0.554,0.762,0.066,0.702,0.87,60.8,55.4,63.4,64.0,48.5,30.3,72.8,50.7,56.39,Amber,False,False,False,0.0,Article 8,69.2,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Peru,Latin America,False,Clean Transportation,SME Debt,1514.54,0.0009,40,0.495,0.762,0.179,0.416,0.721,72.1,63.3,43.9,47.9,46.6,27.7,81.6,69.6,54.22,Amber,True,True,True,70.9,Article 8,60.6,Medium,Low,5.9,ESG-integrated (MiFID Art. 8 preference),False,True,False
Belgium,Western Europe,True,Extractive Industry,Microfinance / Social Bond,14643832.51,0.8821,73,0.236,0.937,0.784,0.45,0.373,17.0,30.6,73.7,55.4,62.7,69.8,12.4,68.9,49.44,Amber,False,False,False,0.0,Article 6,55.9,Low,High,3.9,Conventional (Article 6 compatible),True,True,True
Colombia,Latin America,False,Circular Economy,Microfinance / Social Bond,28062.91,0.2812,39,0.589,0.752,0.22,0.558,0.505,69.1,59.6,52.4,50.1,53.7,26.7,81.6,84.2,56.71,Amber,True,True,True,69.5,Article 8,61.4,Medium,Low,6.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Germany,Western Europe,True,Renewable Energy,Real Estate,19152.23,0.2446,78,0.29,0.942,0.012,0.603,0.625,86.5,68.1,82.3,59.3,56.3,75.2,89.0,82.9,76.04,Dark Green,True,True,True,89.7,Article 9,81.6,Low,Low,9.1,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Ukraine,Eastern Europe,False,Green Building / Real Estate,Green Bond,129242.43,0.4279,33,0.432,0.773,0.177,0.633,0.681,74.3,64.9,60.7,60.2,53.5,31.3,83.4,55.9,60.4,Green,True,True,True,73.6,Article 8,64.2,Medium,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,True,False
Italy,Southern Europe,True,Manufacturing (conventional),Project Finance,883299.66,0.6124,56,0.355,0.895,0.754,0.42,0.52,20.9,21.6,53.6,54.6,65.3,58.0,15.5,69.4,44.05,Amber,False,False,False,0.0,Article 6,51.3,Low,High,3.4,Conventional (Article 6 compatible),False,True,True
Australia,Oceania,False,Food & Nutrition,Project Finance,5881.87,0.1312,75,0.339,0.951,0.425,0.679,0.909,34.2,25.6,85.1,68.0,38.0,54.1,40.4,48.6,53.51,Amber,False,False,False,0.0,Article 8,68.6,Low,High,4.9,Conventional (Article 6 compatible),False,True,False
Netherlands,Western Europe,True,Clean Transportation,SME Debt,66513.41,0.3641,79,0.27,0.941,0.0,0.407,0.667,92.3,62.8,72.0,61.8,55.9,68.8,94.8,84.4,74.66,Green,True,True,True,89.9,Article 9,77.9,Low,Low,9.0,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Indonesia,Southeast Asia,False,Green Building / Real Estate,SME Debt,565622.83,0.5696,34,0.667,0.705,0.279,0.61,0.589,63.0,54.1,52.8,50.7,54.7,17.2,73.0,60.1,51.69,Amber,True,True,True,63.9,Article 8,58.4,High,Medium,4.7,Conventional (Article 6 compatible),False,True,False
Vietnam,Southeast Asia,False,Digital Infrastructure,Project Finance,48790456.4,0.9976,41,0.713,0.703,0.321,0.511,0.656,39.5,48.1,48.2,64.4,62.3,37.5,54.9,98.1,52.23,Amber,False,False,False,0.0,Article 8,58.5,High,Medium,4.7,Conventional (Article 6 compatible),False,False,False
Austria,Western Europe,True,Water & Sanitation,Microfinance / Social Bond,220553.9,0.4792,74,0.189,0.916,0.209,0.627,0.806,73.0,64.1,78.2,65.5,57.6,66.3,82.6,89.6,71.92,Green,True,True,True,76.2,Article 8,75.4,Low,Medium,7.7,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Denmark,Northern Europe,True,Water & Sanitation,SME Debt,1803103.35,0.681,90,0.175,0.948,0.07,0.645,0.9,89.1,66.5,96.0,77.3,53.5,79.3,91.9,94.8,83.21,Dark Green,True,True,True,89.1,Article 9,84.0,Low,Medium,9.8,Sustainability-focused (MiFID Art. 9 preference),False,False,True
Bolivia,Latin America,False,Healthcare,Project Finance,9668.22,0.1789,31,0.635,0.698,0.264,0.75,0.861,40.2,55.5,65.8,64.7,52.8,31.0,55.7,42.3,51.53,Amber,False,False,False,0.0,Article 8,62.5,Medium,Medium,5.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Brazil,Latin America,False,Private Equity (diversified),Private Equity / Venture,14170354.03,0.8789,36,0.534,0.76,0.371,0.537,0.679,37.2,60.3,48.6,63.7,57.5,30.1,40.4,64.0,47.8,Amber,False,False,False,0.0,Article 6,56.8,Medium,High,3.8,Conventional (Article 6 compatible),False,False,False
United Kingdom,Western Europe,False,Sustainable Agriculture,Microfinance / Social Bond,29572889.5,0.9496,71,0.254,0.929,0.415,0.597,0.781,61.6,24.7,77.7,76.9,54.6,42.5,60.7,63.0,60.72,Green,True,True,True,59.4,Article 8,65.8,Low,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Italy,Southern Europe,True,Clean Transportation,Real Estate,1121065.54,0.6353,56,0.32,0.895,0.19,0.38,0.825,75.6,66.2,49.7,71.1,61.1,65.0,81.6,96.5,68.08,Green,True,True,True,75.8,Article 8,67.1,Low,Low,7.3,ESG-integrated (MiFID Art. 8 preference),False,True,True
New Zealand,Oceania,False,Affordable Housing,Real Estate,11616861.33,0.8599,85,0.26,0.937,0.365,0.495,0.992,36.9,63.8,81.3,85.2,53.3,52.7,43.7,66.4,61.32,Green,False,False,False,0.0,Article 8,68.9,Low,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Norway,Northern Europe,False,Affordable Housing,Microfinance / Social Bond,5754408.49,0.7924,84,0.173,0.966,0.378,0.54,0.902,40.2,62.6,82.7,87.0,51.0,49.4,37.3,67.7,61.13,Green,False,False,False,0.0,Article 8,69.3,Low,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Germany,Western Europe,True,Biodiversity / Nature,Microfinance / Social Bond,43793.68,0.324,78,0.229,0.942,0.078,0.689,0.719,82.8,67.1,89.5,66.9,54.2,66.7,95.1,54.1,75.29,Dark Green,True,True,True,85.4,Article 9,80.9,Low,Low,9.0,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Sri Lanka,South Asia,False,Biodiversity / Nature,Project Finance,4010063.1,0.7577,34,0.598,0.782,0.055,0.603,0.749,81.5,51.0,59.2,66.5,58.0,28.0,89.4,61.0,62.01,Green,True,True,True,81.5,Article 8,66.0,Medium,Low,6.7,ESG-integrated (MiFID Art. 8 preference),False,False,False
Bangladesh,South Asia,False,Social Infrastructure,Microfinance / Social Bond,6272386.56,0.8007,24,0.844,0.661,0.048,0.668,0.903,72.3,49.2,44.1,69.6,59.1,10.8,89.2,56.6,54.87,Amber,True,False,False,79.1,Article 8,62.6,High,Medium,5.0,Conventional (Article 6 compatible),False,False,False
Senegal,Sub-Saharan Africa,False,Energy Efficiency,Real Estate,2560483.93,0.7146,43,0.643,0.511,0.132,0.533,0.61,71.2,57.0,51.1,51.9,68.6,25.7,85.2,88.4,58.55,Green,True,True,True,75.5,Article 8,63.7,Medium,Low,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Circular Economy,Green Bond,644410.07,0.5822,85,0.168,0.952,0.161,0.635,0.617,77.5,66.0,85.1,64.7,59.7,86.8,80.3,91.4,77.28,Dark Green,True,True,True,81.2,Article 9,81.1,Low,Low,9.2,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Kazakhstan,Central Asia,False,Digital Infrastructure,Project Finance,21597926.89,0.9194,36,0.489,0.811,0.422,0.427,0.517,33.6,16.6,39.3,56.3,59.6,35.1,44.9,93.2,43.81,Amber,False,False,False,0.0,Article 6,54.0,Medium,Medium,4.4,Conventional (Article 6 compatible),False,False,False
Senegal,Sub-Saharan Africa,False,Food & Nutrition,Project Finance,8506.8,0.1666,43,0.731,0.511,0.398,0.651,0.756,36.8,54.9,60.6,51.7,56.8,34.6,42.7,45.9,47.66,Amber,False,False,False,0.0,Article 6,59.0,High,High,3.8,Conventional (Article 6 compatible),False,True,False
New Zealand,Oceania,False,SME Finance,SME Debt,238463.15,0.4867,85,0.146,0.937,0.4,0.622,0.689,42.4,27.2,89.2,71.0,51.1,57.6,42.1,57.6,58.69,Green,False,False,False,0.0,Article 8,71.4,Low,Medium,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
Poland,Eastern Europe,True,Renewable Energy,Microfinance / Social Bond,2432.55,0.0464,54,0.325,0.88,0.079,0.474,0.734,74.7,63.3,58.9,61.5,54.3,57.6,89.7,75.8,66.01,Green,True,True,True,81.7,Article 8,70.9,Low,Low,7.1,ESG-integrated (MiFID Art. 8 preference),False,True,False
Ukraine,Eastern Europe,False,Water & Sanitation,Microfinance / Social Bond,16397.62,0.2297,33,0.503,0.773,0.176,0.643,0.955,73.4,57.2,60.9,71.9,50.2,19.4,82.6,77.3,60.57,Green,True,True,True,73.7,Article 8,62.8,Medium,Medium,6.6,ESG-integrated (MiFID Art. 8 preference),False,False,False
Egypt,MENA,False,Energy Efficiency,SME Debt,8037.93,0.1612,35,0.672,0.728,0.058,0.501,0.627,82.3,60.7,46.7,49.4,55.0,26.1,88.1,80.3,58.38,Green,True,True,True,79.9,Article 8,63.6,High,Low,5.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Digital Infrastructure,Microfinance / Social Bond,15351.55,0.2233,85,0.23,0.952,0.415,0.426,0.451,35.9,23.4,76.5,49.8,52.7,73.3,44.2,82.8,55.7,Amber,False,False,False,0.0,Article 8,68.4,Low,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Australia,Oceania,False,Microfinance,Green Bond,109789.42,0.4122,75,0.183,0.951,0.136,0.581,0.949,58.5,64.5,80.4,79.0,49.5,56.6,66.6,58.3,66.23,Green,False,False,False,0.0,Article 8,75.9,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Greece,Southern Europe,True,SME Finance,SME Debt,8120573.47,0.8255,49,0.464,0.887,0.185,0.629,0.747,52.7,63.2,61.9,71.0,61.1,49.8,62.4,68.6,60.31,Green,False,False,False,0.0,Article 8,68.5,Medium,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,True
Argentina,Latin America,False,Extractive Industry,Microfinance / Social Bond,291969.84,0.5061,37,0.485,0.842,0.779,0.362,0.399,12.0,21.0,34.1,41.3,52.7,21.6,17.5,60.9,29.72,Red,False,False,False,0.0,Article 6,41.7,Medium,High,2.0,Conventional (Article 6 compatible),False,True,False
Netherlands,Western Europe,True,Food & Nutrition,Project Finance,217223.49,0.4778,79,0.253,0.941,0.554,0.645,0.751,28.3,21.4,89.5,65.5,60.4,80.1,30.3,57.7,57.87,Amber,False,False,False,0.0,Article 8,68.1,Low,High,5.3,ESG-integrated (MiFID Art. 8 preference),False,True,False
New Zealand,Oceania,False,Education & Skills,SME Debt,26794.09,0.2768,85,0.291,0.937,0.186,0.618,1.0,57.8,64.0,91.4,73.2,47.4,52.9,56.1,81.5,67.02,Green,False,False,False,0.0,Article 8,76.1,Low,Medium,7.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Ghana,Sub-Saharan Africa,False,Financial Inclusion,Private Equity / Venture,113128.44,0.4151,43,0.749,0.632,0.13,0.523,0.731,54.5,51.9,50.1,59.2,60.1,28.4,68.5,82.4,53.72,Amber,False,False,False,0.0,Article 8,63.4,High,Medium,4.9,Conventional (Article 6 compatible),False,False,False
India,South Asia,False,Renewable Energy,Private Equity / Venture,367784.32,0.5283,39,0.528,0.633,0.019,0.555,0.652,85.8,56.5,49.4,52.3,61.0,19.0,96.3,84.9,60.15,Green,True,True,True,82.9,Article 8,66.5,Medium,Low,6.5,ESG-integrated (MiFID Art. 8 preference),False,True,False
Egypt,MENA,False,Manufacturing (conventional),Private Equity / Venture,1693186.11,0.6749,35,0.742,0.728,0.646,0.634,0.531,17.1,16.4,55.6,54.2,55.6,19.8,24.6,61.1,37.19,Red,False,False,False,0.0,Article 6,48.7,High,High,2.7,Conventional (Article 6 compatible),False,True,False
Bolivia,Latin America,False,Energy Efficiency,Real Estate,3206.91,0.073,31,0.682,0.698,0.022,0.469,0.579,79.5,57.8,36.2,44.3,54.3,19.4,96.6,85.4,54.87,Amber,True,True,True,80.6,Article 8,62.6,High,Low,5.0,Conventional (Article 6 compatible),False,False,False
Pakistan,South Asia,False,Circular Economy,SME Debt,4195.59,0.0988,29,0.713,0.544,0.11,0.662,0.793,72.2,53.3,52.9,51.2,58.4,20.7,86.2,76.7,56.52,Amber,True,False,False,76.0,Article 8,63.4,High,Low,5.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
South Africa,Sub-Saharan Africa,False,Affordable Housing,Green Bond,4604.22,0.1077,41,0.615,0.713,0.327,0.656,0.866,40.4,58.2,56.0,60.8,52.3,35.1,54.9,50.7,50.25,Amber,False,False,False,0.0,Article 8,61.3,Medium,Medium,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Denmark,Northern Europe,True,Energy Efficiency,Real Estate,2865.1,0.0621,90,0.181,0.948,0.107,0.454,0.681,76.0,64.8,78.6,59.5,54.1,76.8,88.4,80.2,73.02,Green,True,True,True,82.8,Article 9,79.1,Low,Low,8.8,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Turkey,MENA,False,Biodiversity / Nature,Project Finance,45609.67,0.3279,34,0.462,0.838,0.0,0.638,0.861,84.7,56.8,62.2,68.1,49.9,36.2,97.0,52.3,64.7,Green,True,True,True,85.9,Article 8,69.7,Medium,Low,7.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
Netherlands,Western Europe,True,Digital Infrastructure,Green Bond,32148871.02,0.9576,79,0.226,0.941,0.2,0.272,0.596,62.2,66.0,56.8,65.0,56.3,78.1,63.0,100.0,66.1,Green,False,False,False,0.0,Article 8,70.9,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),True,False,True
Canada,North America,False,Food & Nutrition,Microfinance / Social Bond,653373.99,0.5835,76,0.386,0.936,0.343,0.764,0.767,47.3,57.1,91.7,68.1,48.2,49.2,58.2,57.8,62.15,Green,False,False,False,0.0,Article 8,72.0,Low,High,5.7,ESG-integrated (MiFID Art. 8 preference),False,True,False
New Zealand,Oceania,False,Social Infrastructure,Project Finance,125948.75,0.4254,85,0.255,0.937,0.1,0.708,0.847,82.8,65.9,96.7,76.1,49.6,65.5,84.0,56.1,76.49,Dark Green,True,True,True,84.6,Article 9,81.6,Low,Medium,9.1,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Norway,Northern Europe,False,Sustainable Agriculture,SME Debt,794524.7,0.6023,84,0.158,0.966,0.275,0.517,0.684,67.0,63.8,79.8,63.1,48.5,56.8,72.7,60.4,65.88,Green,True,True,True,69.8,Article 8,72.5,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Portugal,Southern Europe,True,Clean Transportation,Project Finance,51575.04,0.3397,62,0.39,0.866,0.087,0.564,0.762,82.5,56.3,73.3,65.2,61.8,71.5,88.6,84.6,73.39,Green,True,True,True,84.1,Article 9,74.9,Low,Low,8.8,Sustainability-focused (MiFID Art. 9 preference),False,True,False
Bangladesh,South Asia,False,Food & Nutrition,Green Bond,23698009.02,0.9283,24,0.749,0.661,0.293,0.582,0.923,42.2,52.4,44.6,73.7,62.3,28.1,50.9,67.5,50.12,Amber,False,False,False,0.0,Article 8,56.4,High,High,4.5,Conventional (Article 6 compatible),False,True,False
Ethiopia,Sub-Saharan Africa,False,Renewable Energy,Green Bond,40174.46,0.3157,37,0.816,0.492,0.061,0.777,0.724,72.4,53.4,66.6,54.8,67.9,36.4,86.6,82.7,63.38,Green,True,False,False,81.7,Article 8,69.5,High,Low,5.8,ESG-integrated (MiFID Art. 8 preference),False,True,False
Sri Lanka,South Asia,False,Water & Sanitation,Project Finance,5010522.3,0.7791,34,0.627,0.782,0.122,0.683,0.885,73.0,57.2,55.0,68.8,58.7,29.8,88.5,96.7,62.86,Green,True,True,True,77.8,Article 8,65.7,Medium,Medium,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,False
Austria,Western Europe,True,Biodiversity / Nature,Green Bond,2295.02,0.0408,74,0.196,0.916,0.0,0.501,0.759,85.9,72.0,68.2,62.1,50.8,80.8,95.9,51.1,73.02,Green,True,True,True,89.2,Article 9,80.3,Low,Low,8.8,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Philippines,Southeast Asia,False,Circular Economy,SME Debt,2921592.79,0.7273,33,0.717,0.699,0.322,0.584,0.657,67.6,56.0,54.3,56.4,59.2,23.3,72.1,89.2,56.77,Amber,True,False,False,63.4,Article 8,56.9,High,Low,5.2,ESG-integrated (MiFID Art. 8 preference),False,False,False
Denmark,Northern Europe,True,Green Building / Real Estate,Green Bond,23582563.62,0.9278,90,0.187,0.948,0.295,0.686,0.746,70.2,70.3,98.7,71.7,58.3,90.0,72.3,68.0,78.23,Dark Green,True,True,True,73.6,Article 9,79.5,Low,Medium,9.3,Sustainability-focused (MiFID Art. 9 preference),True,True,True
United States,North America,False,Private Equity (diversified),Private Equity / Venture,3291626.4,0.7388,69,0.254,0.926,0.245,0.538,0.649,50.7,62.4,72.8,70.9,56.4,42.4,58.2,65.7,59.94,Green,False,False,False,0.0,Article 8,69.1,Low,High,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Argentina,Latin America,False,Water & Sanitation,Project Finance,1252084.96,0.6459,37,0.467,0.842,0.104,0.738,0.927,81.3,63.3,67.4,80.2,53.3,34.7,87.5,85.3,68.56,Green,True,True,True,81.2,Article 8,69.1,Medium,Medium,7.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
United States,North America,False,Affordable Housing,SME Debt,28045529.86,0.9445,69,0.302,0.926,0.395,0.635,0.878,43.5,66.9,77.4,81.0,55.0,39.0,45.2,66.9,59.59,Green,False,False,False,0.0,Article 8,66.2,Low,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Spain,Southern Europe,True,Extractive Industry,Microfinance / Social Bond,6663.02,0.1432,60,0.395,0.905,0.861,0.515,0.397,10.5,20.5,70.6,43.2,60.6,61.3,11.3,51.7,42.41,Amber,False,False,False,0.0,Article 6,50.9,Low,High,3.2,Conventional (Article 6 compatible),False,True,False
Ukraine,Eastern Europe,False,Water & Sanitation,SME Debt,4851.68,0.1127,33,0.5,0.773,0.079,0.598,0.832,81.2,58.0,50.4,62.8,54.8,24.9,85.3,79.2,60.17,Green,True,True,True,79.3,Article 8,65.2,Medium,Medium,6.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Egypt,MENA,False,Education & Skills,Project Finance,6831.94,0.1456,35,0.639,0.728,0.248,0.65,0.837,44.6,59.1,57.9,64.6,47.0,36.3,55.4,82.4,53.73,Amber,False,False,False,0.0,Article 8,62.3,Medium,Medium,5.9,ESG-integrated (MiFID Art. 8 preference),False,False,False
Brazil,Latin America,False,Private Equity (diversified),Real Estate,33368.99,0.2979,36,0.496,0.76,0.492,0.409,0.602,31.1,22.4,44.0,49.6,55.4,27.5,33.1,55.4,38.82,Red,False,False,False,0.0,Article 6,50.9,Medium,High,2.9,Conventional (Article 6 compatible),False,False,False
Australia,Oceania,False,Sustainable Agriculture,Real Estate,30064.46,0.2879,75,0.311,0.951,0.253,0.666,0.716,68.9,65.9,84.3,61.5,45.1,51.8,82.9,50.7,66.48,Green,True,True,True,71.4,Article 8,73.1,Low,Medium,7.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
Hungary,Eastern Europe,True,Water & Sanitation,Microfinance / Social Bond,19668.98,0.2471,42,0.416,0.854,0.005,0.573,0.809,85.6,63.1,57.6,60.8,60.5,47.1,98.1,81.4,67.71,Green,True,True,True,86.8,Article 8,71.1,Medium,Medium,7.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Pakistan,South Asia,False,Clean Transportation,Microfinance / Social Bond,3783741.55,0.7521,29,0.676,0.544,0.254,0.491,0.686,71.1,53.4,35.5,57.3,60.2,22.7,77.8,93.2,54.36,Amber,True,True,True,66.5,Article 8,56.5,High,Low,4.9,Conventional (Article 6 compatible),False,True,False
Hungary,Eastern Europe,True,Digital Infrastructure,SME Debt,566771.47,0.5698,42,0.46,0.854,0.239,0.352,0.634,53.7,61.9,44.2,59.4,60.1,48.7,55.9,90.7,55.51,Amber,False,False,False,0.0,Article 8,60.3,Medium,Medium,6.1,ESG-integrated (MiFID Art. 8 preference),False,False,False
France,Western Europe,True,Education & Skills,SME Debt,130946.16,0.4292,71,0.314,0.903,0.171,0.812,0.881,53.9,63.8,97.8,75.2,60.6,71.9,60.1,84.7,72.35,Green,False,False,False,0.0,Article 8,79.4,Low,Medium,7.7,Sustainability-focused (MiFID Art. 9 preference),False,False,False
Hungary,Eastern Europe,True,Circular Economy,SME Debt,903003.53,0.6146,42,0.438,0.854,0.163,0.512,0.775,73.3,63.0,55.3,66.2,60.5,40.6,79.5,88.6,63.42,Green,True,True,True,75.6,Article 8,64.8,Medium,Low,6.8,ESG-integrated (MiFID Art. 8 preference),False,False,True
Vietnam,Southeast Asia,False,Financial Inclusion,Project Finance,2475675.08,0.7114,41,0.641,0.703,0.059,0.564,0.892,61.0,57.2,48.7,70.2,57.8,35.4,70.8,95.5,58.59,Green,False,False,False,0.0,Article 8,67.0,Medium,Medium,6.4,ESG-integrated (MiFID Art. 8 preference),False,False,False
South Korea,East Asia,False,Digital Infrastructure,Project Finance,30341.14,0.2887,63,0.292,0.929,0.301,0.364,0.659,41.7,65.5,57.0,59.2,45.6,48.8,54.2,84.9,54.54,Amber,False,False,False,0.0,Article 8,63.5,Low,Medium,6.0,ESG-integrated (MiFID Art. 8 preference),False,False,False
United States,North America,False,Digital Infrastructure,Microfinance / Social Bond,1407312.0,0.6572,69,0.358,0.926,0.158,0.357,0.445,53.2,63.2,60.6,56.1,45.9,44.7,68.2,97.5,58.21,Green,False,False,False,0.0,Article 8,67.8,Low,Medium,6.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
Senegal,Sub-Saharan Africa,False,Biodiversity / Nature,Microfinance / Social Bond,657160.05,0.584,43,0.688,0.511,0.107,0.619,0.789,74.6,56.7,55.5,59.9,63.7,23.9,91.8,64.3,59.76,Green,True,True,True,77.5,Article 8,65.7,High,Low,5.5,ESG-integrated (MiFID Art. 8 preference),False,False,False
Sweden,Northern Europe,True,Digital Infrastructure,Microfinance / Social Bond,10940347.02,0.8541,85,0.139,0.952,0.188,0.456,0.694,58.6,67.8,79.4,69.9,55.8,77.1,64.3,96.4,70.58,Green,False,False,False,0.0,Article 8,76.1,Low,Medium,7.6,Sustainability-focused (MiFID Art. 9 preference),True,False,True
Ghana,Sub-Saharan Africa,False,Digital Infrastructure,Project Finance,1901082.38,0.686,43,0.755,0.632,0.332,0.447,0.634,35.7,53.2,45.0,52.7,63.9,37.4,47.1,90.2,48.45,Amber,False,False,False,0.0,Article 6,57.1,High,Medium,3.8,Conventional (Article 6 compatible),False,False,False
Bolivia,Latin America,False,Extractive Industry,SME Debt,43140.42,0.3225,31,0.571,0.698,0.881,0.412,0.442,0.0,19.5,35.1,45.3,59.3,22.0,10.0,53.2,27.62,Red,False,False,False,0.0,Article 6,38.2,Medium,High,1.8,Conventional (Article 6 compatible),False,True,False
Austria,Western Europe,True,Manufacturing (conventional),Private Equity / Venture,5482785.91,0.7878,74,0.185,0.916,0.668,0.533,0.614,22.3,30.6,77.4,63.5,60.9,67.8,25.0,66.3,53.0,Amber,False,False,False,0.0,Article 8,61.0,Low,High,4.8,Conventional (Article 6 compatible),True,True,True
Vietnam,Southeast Asia,False,Circular Economy,SME Debt,6641.61,0.1429,41,0.681,0.703,0.233,0.432,0.686,65.4,43.2,45.7,57.4,47.3,31.2,69.2,82.7,53.33,Amber,True,True,True,67.4,Article 8,59.0,High,Low,4.8,Conventional (Article 6 compatible),False,False,False
Portugal,Southern Europe,True,SME Finance,Microfinance / Social Bond,362867.51,0.527,62,0.339,0.866,0.392,0.625,0.761,34.5,65.3,79.0,70.2,54.7,55.8,43.1,54.4,58.07,Green,False,False,False,0.0,Article 8,66.3,Low,Medium,6.3,ESG-integrated (MiFID Art. 8 preference),False,False,False
